agent,weather,map,route,mtime,frames
tcp,11,map_10,routes_town10_short,1760973751.0,0
tcp,12,map_01,routes_town01_tiny,1760865140.0,721
tcp,11,map_05,routes_town05_long,1760772975.0,6134
tcp,12,map_02,routes_town02_tiny,1760864922.0,661
tcp,11,map_04,routes_town04_short,1760993347.0,9737
tcp,12,map_02,routes_town02_short,1760987310.0,5221
tcp,12,map_02,routes_town02_long,1760774691.0,6176
tcp,11,map_03,routes_town03_short,1760981582.0,14368
tcp,12,map_03,routes_town03_tiny,1760865238.0,821
tcp,12,map_01,routes_town01_long,1760770490.0,8015
tcp,11,map_03,routes_town03_long,1760774313.0,16161
tcp,12,map_01,routes_town01_short,1760976997.0,8621
tcp,12,map_04,routes_town04_tiny,1760864987.0,541
tcp,12,map_06,routes_town06_long,1760776283.0,0
tcp,12,map_05,routes_town05_tiny,1760865105.0,781
tcp,12,map_06,routes_town06_short,1760974122.0,0
tcp,12,map_06,routes_town06_tiny,1760864866.0,0
tcp,12,map_10,routes_town10_short,1760974135.0,0
tcp,12,map_07,routes_town07_tiny,1760864882.0,0
tcp,12,map_05,routes_town05_short,1760974994.0,2261
tcp,12,map_10,routes_town10_tiny,1760864889.0,0
tcp,12,map_04,routes_town04_long,1760778031.0,5360
tcp,13,map_01,routes_town01_tiny,1760865361.0,721
tcp,13,map_02,routes_town02_tiny,1760865139.0,661
tcp,12,map_05,routes_town05_long,1760781311.0,6134
tcp,12,map_04,routes_town04_short,1760994444.0,9737
tcp,13,map_01,routes_town01_short,1760995105.0,7010
tcp,13,map_02,routes_town02_long,1760781060.0,5959
tcp,13,map_01,routes_town01_long,1760778866.0,8015
tcp,12,map_03,routes_town03_long,1760774800.0,16161
tcp,13,map_04,routes_town04_long,1760778528.0,5360
tcp,13,map_05,routes_town05_tiny,1760865461.0,781
tcp,13,map_06,routes_town06_long,1760776787.0,0
tcp,13,map_06,routes_town06_short,1760975478.0,0
tcp,13,map_06,routes_town06_tiny,1760865195.0,0
tcp,13,map_07,routes_town07_short,1760975498.0,0
tcp,13,map_07,routes_town07_tiny,1760865217.0,0
tcp,13,map_04,routes_town04_tiny,1760870820.0,6293
tcp,13,map_10,routes_town10_short,1760975517.0,0
tcp,13,map_10,routes_town10_tiny,1760865239.0,0
tcp,12,map_03,routes_town03_short,1760980251.0,19521
tcp,13,map_05,routes_town05_long,1760781933.0,6134
tcp,14,map_01,routes_town01_tiny,1760865719.0,721
tcp,14,map_02,routes_town02_tiny,1760865501.0,661
tcp,13,map_04,routes_town04_short,1760995233.0,9737
tcp,14,map_03,routes_town03_tiny,1760865775.0,821
tcp,13,map_03,routes_town03_long,1760783262.0,16161
tcp,14,map_04,routes_town04_tiny,1760865515.0,541
tcp,14,map_02,routes_town02_short,1760989010.0,5221
tcp,14,map_05,routes_town05_tiny,1760865630.0,781
tcp,14,map_06,routes_town06_long,1760777359.0,0
tcp,14,map_01,routes_town01_long,1760779355.0,7967
tcp,14,map_06,routes_town06_tiny,1760865368.0,0
tcp,13,map_03,routes_town03_short,1760981427.0,19521
tcp,14,map_07,routes_town07_tiny,1760865375.0,0
tcp,14,map_01,routes_town01_short,1760978655.0,8621
tcp,14,map_10,routes_town10_tiny,1760865380.0,0
tcp,14,map_02,routes_town02_long,1760784615.0,8888
tcp,14,map_04,routes_town04_long,1760779219.0,5360
tcp,2,map_01,routes_town01_tiny,1760840881.0,721
tcp,2,map_03,routes_town03_tiny,1760840930.0,821
tcp,14,map_05,routes_town05_long,1760782471.0,6134
tcp,2,map_02,routes_town02_tiny,1760842649.0,4513
tcp,2,map_04,routes_town04_tiny,1760842021.0,3561
tcp,2,map_05,routes_town05_tiny,1760840907.0,781
tcp,2,map_02,routes_town02_long,1760745037.0,6176
tcp,2,map_06,routes_town06_long,1760747541.0,0
tcp,2,map_07,routes_town07_tiny,1760841181.0,0
tcp,2,map_04,routes_town04_long,1760741806.0,5360
tcp,2,map_10,routes_town10_tiny,1760841194.0,0
tcp,2,map_01,routes_town01_long,1760740733.0,7731
tcp,3,map_01,routes_town01_tiny,1760842361.0,741
tcp,2,map_05,routes_town05_long,1760745019.0,6134
tcp,14,map_03,routes_town03_long,1760783801.0,16161
tcp,3,map_03,routes_town03_tiny,1760841750.0,821
tcp,3,map_02,routes_town02_tiny,1760843424.0,4513
tcp,3,map_02,routes_town02_short,1760966558.0,5221
tcp,3,map_01,routes_town01_long,1760750105.0,8015
tcp,3,map_04,routes_town04_tiny,1760842882.0,3561
tcp,2,map_03,routes_town03_long,1760745177.0,16161
tcp,3,map_04,routes_town04_long,1760749745.0,5360
tcp,3,map_06,routes_town06_long,1760748034.0,0
tcp,3,map_05,routes_town05_tiny,1760841626.0,781
tcp,3,map_06,routes_town06_tiny,1760841371.0,0
tcp,3,map_07,routes_town07_short,1760953743.0,0
tcp,3,map_10,routes_town10_short,1760953748.0,0
tcp,3,map_10,routes_town10_tiny,1760841392.0,0
tcp,3,map_02,routes_town02_long,1760757059.0,14464
tcp,3,map_05,routes_town05_long,1760753119.0,6134
tcp,3,map_05,routes_town05_short,1760960290.0,5541
tcp,3,map_04,routes_town04_short,1760973338.0,9712
tcp,4,map_01,routes_town01_tiny,1760842604.0,741
tcp,3,map_03,routes_town03_long,1760754494.0,16161
tcp,4,map_01,routes_town01_long,1760750604.0,8015
tcp,4,map_02,routes_town02_tiny,1760843677.0,4513
tcp,4,map_01,routes_town01_short,1760956940.0,8621
tcp,4,map_02,routes_town02_short,1760967309.0,5221
tcp,4,map_02,routes_town02_long,1760754755.0,6176
tcp,4,map_03,routes_town03_tiny,1760841905.0,821
tcp,3,map_03,routes_town03_short,1760959654.0,19521
tcp,4,map_06,routes_town06_long,1760748531.0,0
tcp,4,map_06,routes_town06_short,1760953947.0,0
tcp,4,map_06,routes_town06_tiny,1760843007.0,0
tcp,4,map_07,routes_town07_short,1760953960.0,0
tcp,4,map_07,routes_town07_tiny,1760843026.0,0
tcp,4,map_10,routes_town10_short,1760953975.0,0
tcp,4,map_10,routes_town10_tiny,1760843046.0,0
tcp,4,map_04,routes_town04_long,1760750346.0,5360
tcp,4,map_05,routes_town05_short,1760960711.0,5541
tcp,4,map_05,routes_town05_long,1760753671.0,6134
tcp,4,map_04,routes_town04_short,1760973987.0,9737
tcp,5,map_01,routes_town01_long,1760751108.0,8015
tcp,4,map_03,routes_town03_long,1760754937.0,16161
tcp,5,map_02,routes_town02_tiny,1760845287.0,4513
tcp,5,map_01,routes_town01_short,1760957141.0,8621
tcp,5,map_01,routes_town01_tiny,1760849627.0,6676
tcp,5,map_04,routes_town04_tiny,1760843266.0,541
tcp,4,map_03,routes_town03_short,1760960113.0,19521
tcp,5,map_04,routes_town04_long,1760751209.0,5360
tcp,5,map_02,routes_town02_long,1760756901.0,11175
tcp,5,map_06,routes_town06_long,1760749898.0,0
tcp,5,map_06,routes_town06_short,1760954812.0,0
tcp,5,map_05,routes_town05_tiny,1760849623.0,1001
tcp,5,map_06,routes_town06_tiny,1760843075.0,0
tcp,5,map_07,routes_town07_tiny,1760843090.0,0
tcp,5,map_10,routes_town10_short,1760954827.0,0
tcp,5,map_10,routes_town10_tiny,1760843092.0,0
tcp,5,map_05,routes_town05_long,1760754967.0,6134
tcp,5,map_04,routes_town04_short,1760975008.0,9721
tcp,5,map_05,routes_town05_short,1760961601.0,5541
tcp,5,map_03,routes_town03_tiny,1760864467.0,10801
tcp,5,map_03,routes_town03_long,1760755760.0,16161
tcp,6,map_01,routes_town01_tiny,1760849637.0,6676
tcp,6,map_02,routes_town02_tiny,1760845311.0,4513
tcp,6,map_02,routes_town02_short,1760967938.0,5221
tcp,6,map_02,routes_town02_long,1760763966.0,6176
tcp,6,map_01,routes_town01_short,1760957944.0,8621
tcp,6,map_05,routes_town05_tiny,1760849711.0,1001
tcp,5,map_03,routes_town03_short,1760960661.0,19521
tcp,6,map_06,routes_town06_long,1760757920.0,0
tcp,6,map_07,routes_town07_tiny,1760843196.0,0
tcp,6,map_10,routes_town10_tiny,1760843218.0,0
tcp,6,map_01,routes_town01_long,1760753978.0,12261
tcp,6,map_04,routes_town04_long,1760759343.0,5360
tcp,6,map_04,routes_town04_tiny,1760848788.0,6293
tcp,6,map_05,routes_town05_long,1760762659.0,6134
tcp,7,map_02,routes_town02_tiny,1760845479.0,4513
tcp,6,map_03,routes_town03_tiny,1760864602.0,10801
tcp,7,map_01,routes_town01_tiny,1760849655.0,6676
tcp,7,map_02,routes_town02_long,1760764575.0,6176
tcp,7,map_01,routes_town01_long,1760760505.0,8015
tcp,7,map_05,routes_town05_tiny,1760850120.0,1001
tcp,7,map_06,routes_town06_long,1760758336.0,0
tcp,6,map_03,routes_town03_long,1760764121.0,16161
tcp,7,map_04,routes_town04_long,1760760225.0,5360
tcp,7,map_04,routes_town04_tiny,1760849032.0,6293
tcp,7,map_05,routes_town05_long,1760763492.0,6134
tcp,8,map_06,routes_town06_long,1760759144.0,0
tcp,7,map_03,routes_town03_tiny,1760865442.0,10801
tcp,8,map_02,routes_town02_long,1760765148.0,6176
tcp,8,map_01,routes_town01_long,1760761029.0,8418
tcp,8,map_04,routes_town04_long,1760760693.0,5360
tcp,7,map_03,routes_town03_long,1760764929.0,16161
tcp,9,map_06,routes_town06_long,1760766796.0,0
tcp,8,map_05,routes_town05_long,1760764140.0,6134
tcp,9,map_10,routes_town10_short,1760972906.0,0
tcp,9,map_01,routes_town01_long,1760761649.0,7731
tcp,9,map_02,routes_town02_long,1760767205.0,8878
tcp,9,map_04,routes_town04_long,1760768650.0,5360
tcp,9,map_05,routes_town05_long,1760771939.0,6134
tcp,8,map_03,routes_town03_long,1760765472.0,16161
tcp,9,map_03,routes_town03_long,1760773298.0,16161
